"id","name","name@pl","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","price_include_override","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_25||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_26","chart22101","-100"
"im_z_23_uslugi_poz","IM 23 U","IM 23 U",,"IMU","23","percent","purchase","126","tax_group_vat_23","service","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_27||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_28","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_27||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_28","chart22101","-100"
"vat_z_23_towary_poz_brutto","VAT Z 23 T (gross)","VAT Z 23 T (brutto)",,"23%","23","percent","purchase","130","tax_group_vat_23","consu","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
"vat_z_23_towary_st_brutto","VAT Z 23 T ST (gross)","VAT Z 23 T ST (brutto)",,"23%","23","percent","purchase","131","tax_group_vat_23","consu","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_44","chart22102","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_44","chart22102","100"
"vat_z_8_towary_poz_brutto","VAT Z 8 T (gross)","VAT Z 8 T (brutto)",,"8%","8","percent","purchase","132","tax_group_vat_8","consu","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_45",,
