"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart70301","703.01","Costs of finished goods (products) sold","Koszty sprzedanych wyrobów gotowych (produktów)","expense_direct_cost","False","trilab_pl_reports.RZiSPor_A_II,trilab_pl_reports.RZiSKalk_B_I"
"chart73001","730.01","Net revenue from goods sold","Przychody netto ze sprzedanych towarów","income","False","trilab_pl_reports.RZiSPor_A_IV,trilab_pl_reports.RZiSKalk_A_II"
"chart73101","731.01","Value of goods sold at purchase/acquisition price",Wartość sprzedanych towarów w cenie zakupu/nabycia			,"expense_direct_cost","False","trilab_pl_reports.RZiSPor_B_VIII,trilab_pl_reports.RZiSKalk_B_II"
"chart74001","740.01","Net income from sold materials","Przychody netto ze sprzedanych materiałów","income","False","trilab_pl_reports.RZiSPor_D_IV,trilab_pl_reports.RZiSKalk_G_IV"
"chart74101","741.01","Value of materials sold at purchase/acquisition price","Wartość sprzedanych materiałów w cenie zakupu/nabycia","expense_direct_cost","False","trilab_pl_reports.RZiSPor_E_III,trilab_pl_reports.RZiSKalk_H_III"
"chart75001","750.01","Income from financial operations Dividends from related parties",Przychody z operacji finansowych dywidendy od powiązanych,"income_other","False","trilab_pl_reports.RZiSPor_G_I_A,trilab_pl_reports.RZiSKalk_J_I_A"
"chart75002","750.02","Income from financial operations Dividends from others",Przychody z operacji finansowych dywidendy od pozostałych,"income_other","False","trilab_pl_reports.RZiSPor_G_I_B,trilab_pl_reports.RZiSKalk_J_I_B"
"chart75011","750.11","Income from financial operations Budgetary interest",Przychody z operacji finansowych odsetki budżetowe,"income_other","False","trilab_pl_reports.RZiSPor_G_II,trilab_pl_reports.RZiSKalk_J_II"
"chart75012","750.12","Income from financial operations Other interest",Przychody z operacji finansowych odsetki inne,"income_other","False","trilab_pl_reports.RZiSPor_G_II,trilab_pl_reports.RZiSKalk_J_II"
"chart75021","750.21","Income from financial operations Profit on outflow of assets",Przychody z operacji finansowych zysk z rozchodu aktywów,"income_other","False","trilab_pl_reports.RZiSPor_G_III,trilab_pl_reports.RZiSKalk_J_III,trilab_pl_reports.RZiSPor_H_II,trilab_pl_reports.RZiSKalk_K_II"
"chart75031","750.31","Income from financial operations Foreign exchange gains Realized",Przychody z operacji finansowych dodatnie różnice kursowe zrealizowane,"income_other","False","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75032","750.32","Income from financial operations Foreign exchange gains Balanced",Przychody z operacji finansowychd dodatnie różnice kursowe bilansowe,"income_other","False","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
