"id","name","applicability"
"RZiSPor_E_II","RZiSPor_E_II","Accounts"
"RZiSPor_G_I_B","RZiSPor_G_I_B","Accounts"
"RZiSPor_G_II","RZiSPor_G_II","Accounts"
"RZiSPor_H_II","RZiSPor_H_II","Accounts"
"RZiSPor_E_III","RZiSPor_E_III","Accounts"
"RZiSPor_G_III","RZiSPor_G_III","Accounts"
"RZiSPor_B_III","RZiSPor_B_III","Accounts"
"RZiSPor_A_III","RZiSPor_A_III","Accounts"
"RZiSPor_A_II","RZiSPor_A_II","Accounts"
"RZiSPor_H_III","RZiSPor_H_III","Accounts"
"RZiSPor_D_III","RZiSPor_D_III","Accounts"
"RZiSPor_H_IV_rk","RZiSPor_H_IV_rk","Accounts"
"RZiSPor_H_IV_poz","RZiSPor_H_IV_poz","Accounts"
"RZiSPor_G_IV","RZiSPor_G_IV","Accounts"
"RZiSPor_A_IV","RZiSPor_A_IV","Accounts"
"RZiSPor_B_IV","RZiSPor_B_IV","Accounts"
"RZiSPor_D_IV","RZiSPor_D_IV","Accounts"
"RZiSPor_B_V","RZiSPor_B_V","Accounts"
"RZiSPor_G_V_rk","RZiSPor_G_V_rk","Accounts"
"RZiSPor_G_V_poz","RZiSPor_G_V_poz","Accounts"
"RZiSPor_B_VI","RZiSPor_B_VI","Accounts"
"RZiSPor_B_VII","RZiSPor_B_VII","Accounts"
"RZiSPor_B_VIII","RZiSPor_B_VIII","Accounts"
"RZiSPor_J","RZiSPor_J","Accounts"
"RZiSPor_K","RZiSPor_K","Accounts"
"RZiSKalk_A_J","RZiSKalk_A_J","Accounts"
"RZiSKalk_A_I","RZiSKalk_A_I","Accounts"
"RZiSKalk_A_II","RZiSKalk_A_II","Accounts"
"RZiSKalk_B_J","RZiSKalk_B_J","Accounts"
"RZiSKalk_B_I","RZiSKalk_B_I","Accounts"
"RZiSKalk_B_II","RZiSKalk_B_II","Accounts"
"RZiSKalk_D","RZiSKalk_D","Accounts"
"RZiSKalk_E","RZiSKalk_E","Accounts"
"RZiSKalk_G_I","RZiSKalk_G_I","Accounts"
"RZiSKalk_G_II","RZiSKalk_G_II","Accounts"
"RZiSKalk_G_III","RZiSKalk_G_III","Accounts"
"RZiSKalk_G_IV","RZiSKalk_G_IV","Accounts"
"RZiSKalk_H_I","RZiSKalk_H_I","Accounts"
"RZiSKalk_H_II","RZiSKalk_H_II","Accounts"
"RZiSKalk_H_III","RZiSKalk_H_III","Accounts"
"RZiSKalk_J_I_A","RZiSKalk_J_I_A","Accounts"
"RZiSKalk_J_I_A_1","RZiSKalk_J_I_A_1","Accounts"
"RZiSKalk_J_I_B","RZiSKalk_J_I_B","Accounts"
"RZiSKalk_J_I_B_1","RZiSKalk_J_I_B_1","Accounts"
"RZiSKalk_J_II","RZiSKalk_J_II","Accounts"
"RZiSKalk_J_II_J","RZiSKalk_J_II_J","Accounts"
"RZiSKalk_J_III","RZiSKalk_J_III","Accounts"
"RZiSKalk_J_III_J","RZiSKalk_J_III_J","Accounts"
"RZiSKalk_J_IV","RZiSKalk_J_IV","Accounts"
"RZiSKalk_J_V_rk","RZiSKalk_J_V_rk","Accounts"
"RZiSKalk_J_V_poz","RZiSKalk_J_V_poz","Accounts"
"RZiSKalk_K_I","RZiSKalk_K_I","Accounts"
"RZiSKalk_K_I_J","RZiSKalk_K_I_J","Accounts"
"RZiSKalk_K_II","RZiSKalk_K_II","Accounts"
"RZiSKalk_K_II_J","RZiSKalk_K_II_J","Accounts"
"RZiSKalk_K_III","RZiSKalk_K_III","Accounts"
"RZiSKalk_K_IV_rk","RZiSKalk_K_IV_rk","Accounts"
"RZiSKalk_K_IV_poz","RZiSKalk_K_IV_poz","Accounts"
"RZiSKalk_M","RZiSKalk_M","Accounts"
"RZiSKalk_N","RZiSKalk_N","Accounts"
